
Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
Starchild		 Imperator	 1019	[1:28:7]	 27.06.2014	 Off	
KrueMelChen		 Imperator	 1203	[2:23:4]	 27.06.2014	 Off	
Zylon		 Probezeit	 1613	[3:113:4]	 02.07.2014	 2t	


W4R_MaChINE		 Gründer	 76	[1:116:4]	 27.06.2014	 On	
Mursana		 Imperator	 97	[1:222:6]	 27.06.2014	 20 Min.	
baal the dark		 Imperator	 100	[2:31:6]	 27.06.2014	 16 Min.	
dywk		 Imperator	 119	[8:130:12]	 27.06.2014	 On	
trendsetter		 Probezeit	 146	[3:114:6]	 01.07.2014	 On	
SuaveTheDon		 -XO-	 154	[9:463:4]	 27.06.2014	 On	
pArmEsAnEXpErtE		 Imperator	 156	[1:421:9]	 27.06.2014	 On	
varus		 Imperator	 368	[3:250:8]	 27.06.2014	 On	
Blesur		 Probezeit	 382	[2:105:8]	 04.07.2014	 On	
Gajeel		 Probezeit	 406	[2:100:5]	 05.07.2014	 On	
reb0RN		 Imperator	 416	[8:129:9]	 27.06.2014	 31 Min.	
ARMAGEDON		 Imperator	 430	[1:345:6]	 27.06.2014	 On	
blindi		 Probezeit	 517	[1:363:6]	 03.07.2014	 On	
Killsort		 Probezeit	 558	[1:82:12]	 02.07.2014	 Off	
g4f		 Imperator	 576	[1:272:4]	 27.06.2014	 Off	
Steveboo		 Probezeit	 621	[2:373:4]	 01.07.2014	 On	
smokingz		 Imperator	 642	[1:376:4]	 27.06.2014	 On	
Philanthrop		 Probezeit	 775	[1:363:4]	 03.07.2014	 Off	
blacklord999		 Imperator	 796	[2:20:10]	 27.06.2014	 4t	
Wrong Destiny		 Imperator	 814	[1:50:6]	 28.06.2014	 59 Min.	
tomek		 Probezeit	 942	[2:181:6]	 05.07.2014	 Off	
Trykonosis		 Probezeit	 960	[1:324:10]	 06.07.2014	 Off	
Starchild		 Imperator	 966	[1:28:7]	 27.06.2014	 41 Min.	
KrueMelChen		 Imperator	 1183	[2:23:4]	 27.06.2014	 26 Min.	
Zylon		 Probezeit	 1552	[3:113:4]	 02.07.2014	 Off	

W4R_MaChINE		 Gründer	 71	[1:116:4]	 27.06.2014	 Off	
baal the dark		 Imperator	 78	[2:31:6]	 27.06.2014	 On	
Mursana		 Imperator	 92	[1:222:6]	 27.06.2014	 On	
dywk		 Imperator	 124	[8:130:12]	 27.06.2014	 On	
trendsetter		 Probezeit	 136	[3:114:6]	 01.07.2014	 On	
pArmEsAnEXpErtE		 Imperator	 140	[1:421:9]	 27.06.2014	 46 Min.	
